-------------- MERGE SORT -----------------
Size of Array			No. of Comparisions
100000					1536519
150000					2392088
200000					3273218
250000					4168649
300000					5083667
350000					6012193
400000					6945874
450000					7888483
500000					8837593
550000					9797301
600000					10770040
650000					11744278
700000					12723136
750000					13705175
800000					14691421
850000					15684582
900000					16678842
950000					17675442
1000000					18676038

