-------------- MERGE SORT -----------------
Size of Array			Time Taken
100000				0.016698
150000				0.025462
200000				0.034754
250000				0.044019
300000				0.054887
350000				0.063471
400000				0.072589
450000				0.083409
500000				0.092508
550000				0.101778
600000				0.111176
650000				0.121706
700000				0.131843
750000				0.142048
800000				0.152355
850000				0.162471
900000				0.172140
950000				0.182792
1000000				0.192750

