-------------- SELECTION SORT -----------------
Size of Array			Time Taken
100000				9.095923
150000				20.915447
200000				36.447991
250000				56.810041
300000				82.057999
350000				111.425920
400000				145.484532
450000				184.331595
500000				227.393272
550000				275.299571
600000				327.488617
650000				383.845260
700000				447.515840
750000				513.058397
800000				584.377390
850000				659.257286
900000				738.495061
950000				824.057831
1000000				913.440118

