-------------- BUBBLE SORT -----------------
Size of Array			Time Taken
100000				28.146807
150000				64.529342
200000				112.922610
250000				175.870837
300000				253.640192
350000				345.087411
400000				452.203216
450000				569.740270
500000				705.719989
550000				852.194957
600000				1013.735329
650000				1193.140675
700000				1383.536618
750000				1590.296794
800000				1810.938670
850000				2045.243407
900000				2291.471766
950000				2549.747022
1000000				2830.969882

